1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,QC_1-00005,QC_2-00003,QC_3-00004,B_1,B_2,B_3,features
0.0783,0.0697,0.0606,0.0759,0.0369,0.0566,0.0759,0.0822,0.0677,0.106,0.066,0.0857,0.0826,0.1688,0.1,0.1109,0.093,0.115,0.1168,0.1288,0.1266,NA,NA,NA,NA,NA,NA,DAG.18.1.22.5.
0.1023,0.0944,0.1713,0.1613,0.0861,0.1145,0.094,0.1635,0.1455,0.2412,0.0825,0.1299,0.0665,0.5162,0.555,0.504,0.4712,0.4868,0.5078,0.4395,0.5177,NA,NA,NA,NA,NA,NA,DAG.18.1.22.6.
0.0562,NA,NA,NA,NA,0.0533,0.0624,NA,0.0613,0.067,0.0325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DAG.18.2.20.3.
0.0336,NA,0.034,0.0698,NA,0.0191,0.0242,0.0851,NA,0.0373,NA,NA,0.0264,0.0678,0.3582,0.0493,0.0981,0.0672,0.0781,0.0473,0.073,NA,NA,NA,0.0236,0.0204,NA,DAG.18.2.20.4.
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0373,NA,NA,0.0295,NA,0.0295,NA,NA,NA,NA,NA,NA,NA,NA,DAG.18.2.22.4.
NA,NA,NA,NA,NA,NA,NA,0.0389,NA,NA,0.0309,0.0384,NA,NA,NA,NA,0.0454,0.0402,0.0435,0.0498,0.05,NA,NA,NA,0.0307,0.0372,0.0439,DAG.20.0.20.0.
0.1344,0.1582,0.1501,0.1492,0.1432,0.095,0.1474,0.1924,0.2232,0.2699,0.1129,0.1258,0.238,NA,NA,NA,NA,NA,0.0931,0.0858,NA,NA,NA,NA,NA,NA,NA,DCER.16.0.
0.2138,0.1541,0.1177,0.1434,0.1474,0.0966,0.1988,0.1808,0.2068,0.2384,0.1419,0.1336,0.2001,0.1597,NA,0.1493,0.1491,0.1814,0.1947,0.1509,0.1729,NA,NA,NA,NA,NA,NA,DCER.18.0.
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DCER.20.0.
NA,NA,0.0751,0.0727,0.0645,0.0884,0.0793,0.0822,0.085,0.0923,0.0602,0.0866,0.0755,NA,0.0899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DCER.22.0.
NA,NA,0.0726,0.0842,0.08,NA,NA,0.0875,NA,NA,NA,0.059,NA,NA,NA,NA,NA,NA,NA,NA,0.0738,NA,NA,NA,NA,NA,NA,DCER.24.0.
0.3335,0.3898,0.3934,0.3477,0.3494,0.3138,0.3626,0.3906,0.4705,0.4686,0.2438,0.2796,0.4013,0.3586,0.3782,0.3775,0.3365,0.264,0.3494,0.3645,0.3708,NA,NA,NA,0.0656,0.0785,0.0874,DCER.24.1.
NA,NA,0.0673,NA,NA,0.0817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1126,NA,NA,NA,NA,NA,NA,0.0372,0.0371,NA,DCER.26.0.
0.1771,0.1096,0.1688,0.1779,0.1718,0.1701,0.0943,0.0723,0.1627,0.08,NA,NA,0.0741,NA,0.254,0.2,0.1246,0.1868,0.1366,0.0898,0.1162,NA,NA,NA,0.0836,0.0616,0.0534,DCER.26.1.
3.1896,2.748,2.9426,2.7189,2.9237,2.71,2.2311,2.7023,2.7657,2.2792,2.548,2.2499,3.0981,2.4813,2.4355,2.6904,2.6171,2.8541,2.7391,2.473,2.2177,9.3223,8.6953,9.3291,1.5775,1.8692,1.3286,FFA.12.0.
5.139,4.8445,4.4742,4.2798,4.5848,4.8697,4.5367,4.5688,5.0893,4.9436,3.9631,4.1955,5.1993,3.7399,3.9007,4.2199,4.0117,4.2461,3.7789,4.2092,3.59,10.2854,10.2423,10.4284,2.2297,2.1917,2.2144,FFA.14.0.
2.8028,3.4897,2.6155,3.079,2.9076,3.4819,2.7176,3.1647,3.5351,3.3826,2.6203,2.263,2.8257,1.4872,1.9738,1.9757,1.7182,2.1245,2.403,2.3483,2.1968,3.578,3.5927,3.6525,1.2569,1.3227,1.5843,FFA.14.1.
4.238,3.7366,3.4815,3.249,3.63,3.7099,3.3758,3.302,3.7421,3.434,3.1691,3.2101,3.3392,5.9705,5.3632,5.3084,6.0829,5.3945,5.2568,5.4647,5.1601,6.1387,5.6424,5.907,1.5555,1.4979,1.475,FFA.15.0.
40.11,41.7676,35.9915,35.4014,42.0451,44.9519,45.1095,39.029,40.9864,41.7819,39.6977,41.0158,42.3385,38.8864,38.9076,38.0138,40.9878,36.6948,33.7375,38.0767,33.162,100.6473,98.9812,93.2908,16.002,16.7401,16.0432,FFA.16.0.
4.6903,5.437,4.8048,3.9757,4.9316,4.7156,5.3147,4.7148,5.7893,5.8862,3.2628,4.2746,5.4205,5.414,4.8342,4.7657,5.7933,5.1403,4.7059,4.9063,4.6893,8.9778,8.7793,8.6025,0.7205,0.7024,0.6352,FFA.16.1.
4.1166,3.6554,3.4182,3.3707,3.4471,3.6996,3.4172,3.3996,3.7227,3.6249,3.22,3.1799,3.6022,5.461,4.8656,5.0021,5.2136,4.9405,4.5789,4.9476,4.6542,12.0797,13.0828,13.0171,1.9442,1.9705,1.9796,FFA.17.0.
39.4759,36.1074,31.9799,33.2763,33.1804,35.7329,36.7611,35.01,36.0523,37.3638,33.6654,33.9666,35.3156,26.5735,28.9675,27.9298,27.6587,28.3344,25.978,27.4361,25.0766,71.3077,71.3845,68.1152,15.5958,16.614,16.5345,FFA.18.0.
14.2931,14.6932,14.5022,13.2515,13.6403,13.3624,15.3713,16.1608,18.1135,19.6589,9.5313,12.389,16.6705,21.2051,19.1714,16.3869,22.0306,16.1694,14.6256,16.5093,15.5363,89.2527,95.2172,87.0229,3.0968,2.9844,2.9598,FFA.18.1.
