Rej	ID	LipidMolec	LipidMolecGroup	ClassKey	SubClassKey	FAKey	FAGroupKey	CalcMass	BaseRt	MolFormula	MainIon	IonCnt	IsoCnt	PDBCnt	TotalSmpIDRate(%)	TotalGrade	OrgMeanArea[s1]	OrgMeanHeight[s1]	OrgMaxArea[s1]	OrgMaxHeight[s1]	OrgMedArea[s1]	OrgMedHeight[s1]	OrgAreaStd[s1]	OrgHeightStd[s1]	OrgAreaRsd(%)[s1]	OrgHeightRsd(%)[s1]	MeanArea[s1]	MeanHeight[s1]	MaxArea[s1]	MaxHeight[s1]	MedArea[s1]	MedHeight[s1]	MedSumArea[s1]	AreaStd[s1]	HeightStd[s1]	AreaRsd(%)[s1]	HeightRsd(%)[s1]	MeanConc[s1]	MaxConc[s1]	MedConc[s1]
false	2981	MGDG(34:5)	MGDG(34:5)	MGDG	Monogalactosyldiacylglycerol	(34:5)	(34:5)	748.5126	8.4788	C43 H72 O10	M-H	1	1	0	100.00	C	4.4423E4	3.4085E5	1.1371E5	8.2033E5	5.6023E4	4.4008E5	4.1559E4	2.8876E5	93.5522	84.7174	4.4423E4	3.4085E5	1.1371E5	8.2033E5	5.6023E4	4.4008E5	4.4008E5	4.1559E4	2.8876E5	93.55	84.72	NaN	NaN	NaN
false	2982	MGDG(34:5)	MGDG(34:5)	MGDG	Monogalactosyldiacylglycerol	(34:5)	(34:5)	748.5126	9.1657	C43 H72 O10	M-H	1	1	0	100.00	C	1.4904E3	6.4728E4	6.6360E3	2.0751E5	9.5801E2	5.6645E4	1.4833E3	4.5053E4	99.5240	69.6037	1.4904E3	6.4728E4	6.6360E3	2.0751E5	9.5801E2	5.6645E4	5.6645E4	1.4833E3	4.5053E4	99.52	69.60	NaN	NaN	NaN
false	2983	MGDG(34:5)	MGDG(34:5)	MGDG	Monogalactosyldiacylglycerol	(34:5)	(34:5)	748.5126	9.5737	C43 H72 O10	M-H	1	1	0	100.00	C	2.9986E4	4.4894E5	1.0166E5	1.2284E6	2.0001E4	4.1534E5	2.9195E4	3.7115E5	97.3617	82.6712	2.9986E4	4.4894E5	1.0166E5	1.2284E6	2.0001E4	4.1534E5	4.1534E5	2.9195E4	3.7115E5	97.36	82.67	NaN	NaN	NaN
false	2984	MGDG(34:5)	MGDG(34:5)	MGDG	Monogalactosyldiacylglycerol	(34:5)	(34:5)	748.5126	9.6913	C43 H72 O10	M-H	1	1	0	100.00	C	2.7494E4	3.2286E5	8.4589E4	9.4197E5	3.2358E4	3.6730E5	2.2133E4	2.4264E5	80.5008	75.1540	2.7494E4	3.2286E5	8.4589E4	9.4197E5	3.2358E4	3.6730E5	3.6730E5	2.2133E4	2.4264E5	80.50	75.15	NaN	NaN	NaN
false	2985	MGDG(34:5)	MGDG(34:5)	MGDG	Monogalactosyldiacylglycerol	(34:5)	(34:5)	748.5126	9.9723	C43 H72 O10	M-H	1	1	0	100.00	C	4.6903E3	6.7955E4	1.0311E4	1.9118E5	5.4586E3	7.0313E4	3.8976E3	4.7680E4	83.0990	70.1644	4.6903E3	6.7955E4	1.0311E4	1.9118E5	5.4586E3	7.0313E4	7.0313E4	3.8976E3	4.7680E4	83.10	70.16	NaN	NaN	NaN
false	2986	ST(d39:2)	ST(d39:2)	ST	Sulfoglycosphingolipids (sulfatides)	(d39:2)	(d39:2)	847.5843	12.1774	C45 H85 N1 O11 S1	M-H	1	1	0	100.00	C	3.5510E3	4.5470E4	1.0308E4	1.0432E5	2.1011E3	4.4690E4	3.1913E3	2.2811E4	89.8726	50.1665	3.5510E3	4.5470E4	1.0308E4	1.0432E5	2.1011E3	4.4690E4	4.4690E4	3.1913E3	2.2811E4	89.87	50.17	NaN	NaN	NaN
false	2987	ST(d39:2)	ST(d39:2)	ST	Sulfoglycosphingolipids (sulfatides)	(d39:2)	(d39:2)	847.5843	12.8550	C45 H85 N1 O11 S1	M-H	1	1	0	100.00	C	2.3958E4	1.5257E5	5.3088E4	3.1412E5	1.3120E4	8.6344E4	2.0734E4	1.2037E5	86.5446	78.8972	2.3958E4	1.5257E5	5.3088E4	3.1412E5	1.3120E4	8.6344E4	8.6344E4	2.0734E4	1.2037E5	86.54	78.90	NaN	NaN	NaN
false	2988	ST(d39:2)	ST(d39:2)	ST	Sulfoglycosphingolipids (sulfatides)	(d39:2)	(d39:2)	847.5843	13.5042	C45 H85 N1 O11 S1	M-H	1	1	0	100.00	C	3.2987E4	2.0742E5	7.4786E4	4.7423E5	1.7107E4	1.3614E5	2.5203E4	1.5087E5	76.4039	72.7391	3.2987E4	2.0742E5	7.4786E4	4.7423E5	1.7107E4	1.3614E5	1.3614E5	2.5203E4	1.5087E5	76.40	72.74	NaN	NaN	NaN
false	2989	PG(43:8)	PG(43:8)	PG	diacyl	(43:8)	(43:8)	860.5567	8.9769	C49 H81 O10 P1	M-H	1	1	0	100.00	C	8.6641E2	2.8356E4	6.3278E3	1.2486E5	1.5479E2	2.6853E4	1.7551E3	3.1998E4	202.5686	112.8460	8.6641E2	2.8356E4	6.3278E3	1.2486E5	1.5479E2	2.6853E4	2.6853E4	1.7551E3	3.1998E4	202.57	112.85	NaN	NaN	NaN
false	299	CL(83:0CHOCHO)	CL(83:0CHOCHO)	CL	3,4-aldehyde diacyl-diacyl	(83:0CHOCHO)	(83:0CHOCHO)	1647.2281	15.9032	C92 H176 O19 P2	M-2H	1	1	0	100.00	C	7.2478E3	8.0407E4	2.0087E4	1.7201E5	5.8614E3	7.0531E4	6.8525E3	4.6319E4	94.5464	57.6060	7.2478E3	8.0407E4	2.0087E4	1.7201E5	5.8614E3	7.0531E4	7.0531E4	6.8525E3	4.6319E4	94.55	57.61	NaN	NaN	NaN
false	2991	TG(48:11CHO)	TG(48:11CHO)	TG	aldehyde	(48:11CHO)	(48:11CHO)	798.5435	9.0900	C51 H74 O7	M-H	1	1	0	100.00	C	1.0556E5	1.0751E6	2.2326E5	2.3407E6	5.0008E4	4.4364E5	8.6371E4	8.9194E5	81.8189	82.9627	1.0556E5	1.0751E6	2.2326E5	2.3407E6	5.0008E4	4.4364E5	4.4364E5	8.6371E4	8.9194E5	81.82	82.96	NaN	NaN	NaN
false	2992	TG(48:11CHO)	TG(48:11CHO)	TG	aldehyde	(48:11CHO)	(48:11CHO)	798.5435	9.2968	C51 H74 O7	M-H	1	1	0	100.00	C	9.9849E4	6.3891E5	2.4889E5	1.6265E6	6.1210E4	3.5338E5	9.5901E4	5.8641E5	96.0465	91.7827	9.9849E4	6.3891E5	2.4889E5	1.6265E6	6.1210E4	3.5338E5	3.5338E5	9.5901E4	5.8641E5	96.05	91.78	NaN	NaN	NaN
