blank1,XY.1,XY.2,XY.3,XY.4,XY.5,XY.6,XY.7,XY.8,XY.9,XY.10,XY.11,XY.12,Compound,m.z,Retention.time..min.,LipidIon,Class,IonFormula,RT_LS,mz_LS,mscore,Grade,FattyAcid,MeanIntensity,Mode
12789.937,0,1137.800171,19451.09625,11032.58699,15074.60211,14396.45245,8751.377502,1704.47229,13499.99573,4574.832092,9567.268726,5974.933533,1.00_325.2360m/z,325.2360401,1.003916667,0,0,0,0,0,0,0,0,8763.78482,pos
0,0,0,0,0,0,0,0,98316.09522,0,70464.99083,43762.46873,0,1.00_1066.8404m/z,1066.840351,1.003916667,0,0,0,0,0,0,0,0,17711.9629,pos
6851.71055,4979.390869,10453.36475,25970.44516,14829.72119,15054.81885,5432.38916,19892.61218,4590.612549,23908.98584,0,22589.93127,27367.64561,1.00_600.4310m/z,600.4310316,1.003916667,0,0,0,0,0,0,0,0,14589.15979,pos
6581.48774,0,5310.699829,13975.79779,5334.839355,16641.3902,13296.00116,14698.03595,4786.469482,6763.532043,2083.650226,8053.320862,8759.159868,1.00_361.1984m/z,361.1984371,1.003916667,0,0,0,0,0,0,0,0,8308.57473,pos
64091.06167,499403.8394,894322.9129,796781.6957,885697.3077,925231.1031,933122.1262,968427.0077,657684.0386,992079.5843,864561.7217,949168.2143,824288.8588,1.01_335.2186m/z,335.2186401,1.0083,0,0,0,0,0,0,0,0,849230.7009,pos
141428.6134,274390.6211,365361.615,250659.1464,425762.4625,278189.5339,262357.0614,290747.459,334921.9431,283541.91,368381.9724,255211.5584,261769.7487,1.01_367.2368m/z,367.2368153,1.0083,0,0,0,0,0,0,0,0,304274.586,pos
41057.91039,166533.8169,276436.7175,249475.6277,271900.6468,288891.4876,286240.8477,314075.7702,207939.8522,327420.0885,316488.2006,279283.8893,267963.2024,1.01_357.2008m/z,357.2007555,1.0083,0,0,0,0,0,0,0,0,271054.179,pos
77066.41419,49114.89307,161598.4609,97235.88218,128929.8473,132175.7668,147530.5768,149405.3871,95644.73968,141561.5203,155291.4939,124825.0237,116396.532,1.01_307.2260m/z,307.226006,1.0083,0,0,0,0,0,0,0,0,124975.8436,pos
13130.73584,63982.55286,214692.1009,113956.5694,112105.137,134501.2373,88915.55407,125127.48,93678.1248,135298.9965,141346.9152,97068.77057,64989.09663,1.01_351.1924m/z,351.1924262,1.0083,0,0,0,0,0,0,0,0,115471.8779,pos
12435.01511,31829.05615,56929.67132,77901.65009,63739.10491,81096.69977,67303.23675,82377.68188,76589.65161,71451.83463,62299.11578,74463.92511,113993.3604,1.01_391.2084m/z,391.2083685,1.0083,0,0,0,0,0,0,0,0,71664.58237,pos
74559.78796,23276.19849,32003.50391,51641.89094,34488.9024,44044.59177,72062.18549,40271.14966,17701.2188,45136.2243,17598.23061,44506.12445,48126.03356,1.01_436.2900m/z,436.2899503,1.0083,0,0,0,0,0,0,0,0,39238.0212,pos
0,9544.222412,50991.2366,26522.45345,27214.39849,32403.71927,22763.57438,29392.32294,42569.89914,40146.69757,47316.21314,27664.48054,14129.42167,1.01_439.1872m/z,439.1872492,1.0083,0,0,0,0,0,0,0,0,30888.21997,pos
23432.30148,11444.95931,105714.6638,35254.19518,2763.722342,29185.02308,59406.85941,14619.40784,68302.09083,122280.8695,99952.21024,6283.454693,32771.73917,1.01_507.3557m/z,507.3556526,1.0083,0,0,0,0,0,0,0,0,48998.26628,pos
0,8584.599742,0,0,25507.41916,23381.71302,25868.23169,44020.08105,160030.7305,18165.04488,218779.362,144060.5555,10713.77216,1.01_734.9807m/z,734.980724,1.0083,0,0,0,0,0,0,0,0,56592.62581,pos
685.4145813,0,22320.11355,26833.8146,19244.73963,18524.40209,26757.76294,8239.495166,13615.25021,22963.8577,23065.55028,6077.927979,11466.91437,1.01_513.2090m/z,513.2090243,1.0083,0,0,0,0,0,0,0,0,16592.48571,pos
0,0,10349.80873,0,26363.93119,10619.00626,9971.047363,40349.65507,0,35969.17236,63616.39717,0,0,1.01_1085.0326m/z,1085.032579,1.0083,0,0,0,0,0,0,0,0,16436.58485,pos
1153.075969,0,26866.68479,22229.58032,23000.53357,28047.82339,26780.70182,18659.88171,3785.881104,15832.94232,7062.312988,21477.68127,24544.77198,1.01_554.3454m/z,554.345397,1.0083,0,0,0,0,0,0,0,0,18190.73294,pos
389735.794,1483075.209,1538551.578,1640588.535,1890992.391,1590014.381,1490363.284,1900805.259,1608852.866,1731688.631,2016453.096,1591523.385,2015520.316,1.01_445.3392m/z,445.3391648,1.012683333,0,0,0,0,0,0,0,0,1708202.411,pos
0,1907184.96,443319.9205,0,1229218.742,2090170.423,2641324.534,2636070.086,4726498.268,1932938.606,5752353.351,5953553.553,2225556.919,1.01_714.0511m/z,714.0511187,1.012683333,0,0,0,0,0,0,0,0,2628182.447,pos
117876.8665,125143.2061,213187.8481,198760.6268,214482.3406,212997.6192,202441.2731,219395.2837,164908.1391,221589.1837,217178.5319,218612.6491,196418.0594,1.01_316.2839m/z,316.2838779,1.012683333,0,0,0,0,0,0,0,0,200426.2301,pos
